avg_m_o_distance,std_m_o_distance,avg_m_o_m_angle,std_m_o_m_angle,min_m_o_m_angle,max_m_o_m_angle,coordination_mean,atomic_number_mean,electronegativity_mean,oxidation_state_mean,volume_per_atom,band_gap,is_metallic
2.7104657152313156,0.20208788540147948,104.70882524581064,25.535322537756965,67.37145274885393,171.07359395440372,4.56,56.0,0.89,2.0,25.68775822687676,1.704899999999999,0
2.0249211785617556,0.14549976708551107,109.35129829136405,23.853409831266845,67.15320625977674,172.25766320216994,3.9,27.0,1.8799999999999997,2.0,13.052949827909297,0.2197,0
2.3812794529753614,0.16446378454945623,105.54822280260936,26.70186875338363,64.33637300593965,175.16112468314597,4.84,20.0,1.0,2.0,16.567853673010255,2.1384,0
1.6580134973586105,0.10202302755319427,110.447466092898,12.178951036555665,73.36977790234357,150.89879304113745,3.76,4.0,1.5699999999999996,2.0,8.030706835587203,4.4843,0
1.652631134045217,0.0954014868907791,110.43099570104863,12.226473452773913,77.87720956877241,143.74486705649073,3.74,4.0,1.5699999999999996,2.0,8.266266517436865,4.4524,0
2.079127011387847,0.11499712714448396,105.557540653373,28.070193785058063,62.159725876209976,173.14182398890858,4.24,22.0,1.5400000000000003,2.0,11.960243242303463,0.006899999999999001,1
2.08935379999541,0.12707235646611997,105.38841268837803,27.238442097627495,66.9907692180201,163.6685000060548,4.36,22.0,1.5400000000000003,2.0,11.905274423953568,0.0,1
2.0132659919844187,0.12957886323994347,109.0747065611187,22.062367174870158,70.25818805845861,174.1153194313086,3.825,27.0,1.8799999999999997,2.0,12.473608960224336,0.258099999999999,0
2.1252824903759704,0.13663160216359493,106.71530597955261,30.133164876748776,65.89868779376786,176.2767202888083,2.533333333333333,22.0,1.5400000000000003,0.0,14.551592008493833,0.0,1
2.0981666007529047,0.10253773290305829,103.83624197442498,27.354774486812616,66.379652026499,168.85635545549243,2.6470588235294117,22.0,1.5400000000000005,0.0,13.662356954099273,0.0,1
1.6522430390500908,0.10426688143894561,110.27194968623905,12.813405848525496,83.37453741478058,146.9417655005389,3.72,4.0,1.5699999999999996,2.0,8.300785765619382,4.7618,0
2.08532402741732,0.13608704458318147,107.16866341725921,23.562127721489976,72.90225450155441,175.27316173883665,4.525,12.0,1.31,2.0,11.79597643151627,2.202499999999999,0
2.093039391675948,0.1574936075493547,107.6243941953908,25.926533541095896,64.28565942545016,173.5301506948398,4.1,26.0,1.83,2.0,13.657970240985051,0.29050000000000004,0
1.990154537607189,0.12253818958395538,113.61402189942078,15.107196128725684,83.32958400188032,159.11114926582476,3.235294117647059,3.0,0.9800000000000002,1.0,9.824263799398013,2.723,0
2.087302076797811,0.1478651438815228,108.74992813360038,26.684203293128466,69.06942525913725,178.0378944401201,4.0,26.0,1.83,2.0,13.67274328900898,0.0459,1
2.032521928658223,0.13130411716847953,109.36875645914695,20.566623016786174,75.89208960120371,168.79822206588824,3.9,30.0,1.65,2.0,13.979225884501133,1.2763,0
2.096982095787884,0.11657851772632266,107.27895407887651,29.697909958991627,69.05640688123766,179.4208474792593,4.9,12.0,1.31,2.0,11.396588244758746,1.9229,0
2.0852268315576556,0.13656295295613685,106.93948653236332,25.235227072127746,70.35172972755599,173.5043349358095,4.6,12.0,1.31,2.0,12.02025292379506,2.8658,0
2.109443073017283,0.11810230972567563,106.59768972322806,27.7272382737995,64.53224539654661,171.48919229968627,2.8529411764705883,22.0,1.5400000000000005,0.0,13.465271383900452,0.0,1
1.633281422411893,0.1288691130702029,112.60237968467617,12.928012021769636,81.6307167120992,142.70506280362375,3.46,4.0,1.5699999999999996,2.0,9.095173260497385,4.2425,0
1.9928318061194343,0.12777846984547395,113.90165092252647,17.874297757593492,79.38277244291878,173.30793128225622,3.1911764705882355,3.0,0.9800000000000002,1.0,10.227667226884837,2.461,0
2.0226409740353,0.11492722999104157,108.83091528301962,22.233323920024443,72.4220163516432,177.69998629265785,3.975,27.0,1.8799999999999997,2.0,12.779082029467766,0.2662,0
2.1832995005421645,0.12910418717338154,96.4011889907409,19.778105473848203,70.75530614957178,163.09184409225705,2.95,50.0,1.9600000000000002,2.0,22.524761036647696,0.534099999999999,0
1.6512669126636366,0.11693387441281752,111.04525343266175,13.989397243751451,79.60218380254877,152.81516493760034,3.64,4.0,1.5699999999999996,2.0,8.598384257130537,4.321099999999999,0
2.019464136079269,0.11777870747278145,110.27101684525996,19.056079487319064,77.67308809312746,168.18014862744437,3.775,30.0,1.65,2.0,13.226963893908206,1.2176,0
1.8597496350568745,0.08288299694379374,108.07182999357296,23.874446148823242,74.83101706945965,174.4869404375149,7.472222222222222,13.0,1.61,0.0,25.592297135144705,0.0,1
2.162720039820263,0.1058802861236484,94.54891344561871,19.509881876492052,70.36983047248904,161.07801707347892,2.825,50.0,1.9600000000000002,2.0,22.330215516589398,0.43610000000000004,0
2.0804177841001907,0.14939809400964923,107.44239389838569,25.405764175752918,69.16985171986234,177.36383606524836,4.5,12.0,1.31,2.0,12.440832441990077,1.877299999999999,0
2.1965909746212438,0.14703781744341238,96.520853230693,19.666736095921305,66.68663405856088,162.5699400095214,2.925,50.0,1.9600000000000002,2.0,22.061752866254118,0.48149999999999904,0
2.1152186622410056,0.09767991369584225,109.66538945400262,29.66467912974558,67.84514780928973,172.9903147996932,2.44,22.0,1.5400000000000003,0.0,14.279158945806564,0.0,1
2.0892080453211928,0.13620784339547495,106.7831432986976,25.223802524771315,67.86481975792763,176.6373513293852,4.6,12.0,1.31,2.0,11.867018559942832,1.9477000000000002,0
2.0858644993174846,0.15028115812227513,107.24199879533097,24.93454050135667,69.31722032056076,179.3110623642037,4.525,12.0,1.31,2.0,12.2625223070427,2.081499999999999,0
2.073090783733632,0.11335459491738067,106.42677410610851,28.408946351807142,67.91664876241074,178.26646178356646,4.12,22.0,1.5400000000000003,2.0,12.053373606635484,0.016300000000000002,1
2.1140889142704706,0.1048904499492555,103.62119129164466,31.313421880178403,61.45794786127054,171.7592070381129,3.48,22.0,1.5400000000000003,0.0,14.352005370371362,0.0,1
2.095094529296727,0.12132592531983558,105.67200432726716,28.94671057911096,61.97155645178559,162.9326221450112,2.8823529411764706,22.0,1.5400000000000005,0.0,13.60206456632521,0.0,1
